date,open,high,low,close,volume,symbol
2021-02-12,83.82,86.03,83.17,85.72,14273930.0,MU
2021-02-16,86.93,86.93,84.76,85.45,10312768.0,MU
2021-02-17,84.4,85.03,82.61,83.76,10039202.0,MU
2021-02-18,84.23,86.44,83.67,86.25,19168058.0,MU
2021-02-19,87.96,89.2,86.52,88.67,21886532.0,MU
2021-02-22,87.24,88.23,83.63,83.99,16077033.0,MU
2021-02-23,82.95,86.91,80.15,85.94,23203201.0,MU
2021-02-24,86.01,90.31,85.44,90.23,21281678.0,MU
2021-02-25,89.23,90.81,85.29,85.83,22546157.0,MU
2021-02-26,87.45,90.65,85.94,89.24,22787603.0,MU
2021-03-01,92.25,93.46,90.28,92.47,19908856.0,MU
2021-03-02,91.28,92.61,88.61,88.8,18679626.0,MU
2021-03-03,88.28,91.04,86.1,86.82,26424120.0,MU
2021-03-04,86.52,87.46,79.56,82.04,31971097.0,MU
2021-03-05,85.24,87.03,81.01,86.64,30329128.0,MU
2021-03-08,86.28,87.43,82.58,82.76,22708321.0,MU
2021-03-09,85.71,87.89,84.01,87.01,22301358.0,MU
2021-03-10,87.72,87.72,83.02,83.12,23407761.0,MU
2021-03-11,85.3,87.93,84.56,87.02,20716466.0,MU
2021-03-12,85.28,86.24,84.14,85.48,21916381.0,MU
2021-03-15,85.48,86.62,83.85,86.56,16155423.0,MU
2021-03-16,88.46,92.39,87.82,89.14,28539023.0,MU
2021-03-17,89.04,93.2,87.81,92.47,24616721.0,MU
2021-03-18,90.68,91.19,87.12,87.53,27100866.0,MU
2021-03-19,88.07,90.39,86.6,88.22,24963387.0,MU
2021-03-22,89.54,90.13,87.36,88.99,19365773.0,MU
2021-03-23,88.73,88.98,82.68,83.11,32043764.0,MU
2021-03-24,84.77,84.86,80.63,80.71,24232794.0,MU
2021-03-25,78.85,82.14,78.2,81.8,23630211.0,MU
2021-03-26,81.87,85.85,81.74,85.7,23949134.0,MU
2021-03-29,85.47,85.96,83.48,84.3,21772814.0,MU
2021-03-30,83.97,84.93,82.96,84.25,13896963.0,MU
2021-03-31,85.15,86.79,84.42,85.92,25372290.0,MU
2021-04-01,90.71,92.09,88.96,90.12,39700637.0,MU
2021-04-05,91.64,92.38,90.18,91.46,19795131.0,MU
2021-04-06,91.55,93.81,90.37,91.2,22847008.0,MU
2021-04-07,91.96,92.78,90.25,91.67,17621496.0,MU
2021-04-08,92.71,94.1,91.49,93.0,17815590.0,MU
2021-04-09,92.05,93.09,91.02,93.01,14080213.0,MU
2021-04-12,92.9,94.67,92.46,93.3,18818295.0,MU
2021-04-13,94.0,94.53,89.11,89.86,27102073.0,MU
2021-04-14,89.37,90.24,87.22,88.38,19117367.0,MU
2021-04-15,89.46,89.67,87.15,87.98,16017043.0,MU
2021-04-16,88.15,89.04,87.79,88.37,12358662.0,MU
2021-04-19,88.38,88.39,84.23,86.12,21361565.0,MU
2021-04-20,86.09,86.66,84.24,85.19,17396914.0,MU
2021-04-21,84.77,87.27,84.04,87.2,14781306.0,MU
2021-04-22,85.91,86.07,81.61,82.42,34044137.0,MU
2021-04-23,82.95,84.17,82.28,83.74,18168500.0,MU
2021-04-26,84.18,86.01,83.82,85.55,14757740.0,MU
2021-04-27,87.04,87.9,85.74,87.17,17680981.0,MU
2021-04-28,85.37,85.47,83.06,83.74,19433542.0,MU
2021-04-29,85.43,85.8,83.26,85.77,16463338.0,MU
2021-04-30,84.64,86.19,83.27,83.78,14548113.0,MU
2021-05-03,84.68,84.72,81.58,82.73,16300447.0,MU
2021-05-04,81.85,83.15,79.74,82.12,17850528.0,MU
2021-05-05,83.2,83.66,81.74,82.86,13172100.0,MU
