date,open,high,low,close,volume,symbol
2022-06-07,58.41,60.03,58.17,59.87,2407535.0,WDC
2022-06-08,62.41,62.55,57.25,57.37,7200664.0,WDC
2022-06-09,56.92,57.66,56.03,56.13,4383526.0,WDC
2022-06-10,54.82,55.51,53.37,53.58,4678276.0,WDC
2022-06-13,51.49,52.03,49.78,49.91,4621127.0,WDC
2022-06-14,50.17,50.31,48.3,48.79,4167250.0,WDC
2022-06-15,49.02,50.07,48.11,49.5,4543486.0,WDC
2022-06-16,48.03,48.03,45.6,45.9,6050833.0,WDC
2022-06-17,46.05,46.58,44.82,45.9,6221019.0,WDC
2022-06-21,46.57,47.38,45.84,46.05,5025481.0,WDC
2022-06-22,45.05,46.23,44.66,45.07,3934115.0,WDC
2022-06-23,45.07,45.7,44.71,45.47,4099047.0,WDC
2022-06-24,45.85,47.28,45.64,46.62,2863244.0,WDC
2022-06-27,47.1,47.81,46.58,47.13,4216277.0,WDC
2022-06-28,47.37,48.01,46.19,46.29,2055888.0,WDC
2022-06-29,46.02,46.31,44.62,44.95,2594501.0,WDC
2022-06-30,44.05,45.08,43.36,44.38,4165292.0,WDC
2022-07-01,42.83,43.64,41.18,42.97,6023722.0,WDC
2022-07-05,41.88,43.51,41.52,43.34,3509855.0,WDC
2022-07-06,43.23,43.63,42.49,43.32,2702085.0,WDC
2022-07-07,43.97,44.73,43.74,44.41,2501084.0,WDC
2022-07-08,43.97,45.32,43.83,44.79,3148935.0,WDC
2022-07-11,44.37,45.05,43.61,44.37,3635717.0,WDC
2022-07-12,44.37,46.39,44.34,45.58,3534084.0,WDC
2022-07-13,44.4,46.04,44.39,45.86,2441864.0,WDC
2022-07-14,45.07,45.9,44.41,45.56,1955768.0,WDC
2022-07-15,46.7,47.04,45.27,46.96,2275455.0,WDC
2022-07-18,47.15,47.69,46.24,46.45,2950670.0,WDC
2022-07-19,47.37,48.34,47.14,48.11,2403762.0,WDC
2022-07-20,47.76,49.18,47.52,49.14,3606177.0,WDC
2022-07-21,49.27,50.0,48.34,49.98,2549183.0,WDC
2022-07-22,47.8,48.25,46.58,46.77,4148988.0,WDC
2022-07-25,46.92,47.7,45.94,46.39,4670808.0,WDC
2022-07-26,46.71,47.55,46.42,46.5,2328087.0,WDC
2022-07-27,46.85,48.29,46.24,47.98,2151636.0,WDC
2022-07-28,48.01,48.29,46.37,48.27,2675415.0,WDC
2022-07-29,48.27,48.71,47.63,48.65,2566754.0,WDC
2022-08-01,48.6,49.98,47.74,48.67,2903214.0,WDC
2022-08-02,48.35,48.73,47.49,48.02,2379633.0,WDC
2022-08-03,48.36,49.3,47.64,48.94,2739346.0,WDC
2022-08-04,48.93,49.6,48.25,49.46,3217130.0,WDC
